camis,inspection_date,dba,boro,zipcode,cuisine,score,grade,action,violation_count,critical_count,failed,latitude,longitude,yelp_rating,yelp_reviews,yelp_price,yelp_category,high_rating,temp_mean,temp_max,temp_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_mean,wind_gust_mean,cloud_cover_mean,food_complaints_total,rodent_complaints,food_safety_complaints,median_household_income,total_population,white_population,inspection_year,inspection_month,inspection_dow,inspection_quarter,is_weekend,prev_score,prev_failed,inspection_count,score_trend,grade_available,has_yelp,is_first_inspection,has_history,cuisine_grouped,yelp_category_primary,white_pct,score_bucket,has_location
40363298,2024-01-30,CAFE METRO,MANHATTAN,10018,American,12.0,A,Violations were cited in the following area(s).,2,2,0,40.756185423077,-73.990564733785,2.9,135.0,2.0,"sandwiches,catering,coffee",0.0,0.4124999999999999,4.3,-4.0,0.0,0.0,0.0,9.770833333333334,18.05,56.208333333333336,20.0,0.0,0.0,99880.0,1645867.0,842952.0,2024,1,1,1,0,-1.0,-1.0,1,0.0,1,1,1,0,American,sandwiches,0.5121628904401145,A,1
40363427,2023-05-03,BAGELS N BUNS,STATEN ISLAND,10314,Sandwiches,9.0,A,Violations were cited in the following area(s).,2,1,0,40.610267863828,-74.146401210286,3.9,79.0,1.0,"bagels,bakeries,coffee",0.0,9.475,12.6,5.8,0.7000000000000001,0.7000000000000001,0.0,10.320833333333333,20.679166666666667,78.29166666666667,2.0,0.0,0.0,96185.0,492925.0,326334.0,2023,5,2,2,0,-1.0,-1.0,1,0.0,1,1,1,0,Sandwiches,bagels,0.6620358066642998,A,1
40363427,2024-04-29,BAGELS N BUNS,STATEN ISLAND,10314,Sandwiches,11.0,A,Violations were cited in the following area(s).,3,1,0,40.610267863828,-74.146401210286,3.9,79.0,1.0,"bagels,bakeries,coffee",0.0,19.833333333333332,28.3,13.4,3.4000000000000004,3.4000000000000004,0.0,8.862499999999999,18.966666666666665,59.583333333333336,0.0,0.0,0.0,96185.0,492925.0,326334.0,2024,4,0,2,0,9.0,0.0,2,2.0,1,1,0,1,Sandwiches,bagels,0.6620358066642998,A,1
40363834,2023-10-30,CARVEL,STATEN ISLAND,10305,Frozen Desserts,18.0,,Violations were cited in the following area(s).,4,2,0,40.598553130746,-74.079646008177,2.4,25.0,2.0,"icecream,desserts,customcakes",0.0,13.8625,19.1,10.4,2.0,2.0,0.0,12.629166666666668,22.6375,98.16666666666669,4.0,0.0,0.0,96185.0,492925.0,326334.0,2023,10,0,4,0,-1.0,-1.0,1,0.0,0,1,1,0,Other,icecream,0.6620358066642998,B,1
40363834,2024-04-04,CARVEL,STATEN ISLAND,10305,Frozen Desserts,3.0,A,Violations were cited in the following area(s).,1,0,0,40.598553130746,-74.079646008177,2.4,25.0,2.0,"icecream,desserts,customcakes",0.0,5.675,9.2,3.0,9.1,9.1,0.0,19.504166666666663,36.36666666666667,92.08333333333331,1.0,0.0,0.0,96185.0,492925.0,326334.0,2024,4,3,2,0,18.0,0.0,2,-15.0,1,1,0,1,Other,icecream,0.6620358066642998,A,1
40363920,2023-04-26,NEW GOLDEN BILLION,BROOKLYN,11212,Chinese,2.0,A,Violations were cited in the following area(s).,1,0,0,40.662140594575,-73.92718021322,4.2,591.0,2.0,"delis,sandwiches,burgers",1.0,9.979166666666666,13.9,6.2,0.9,0.9,0.0,10.129166666666666,20.829166666666666,54.25,11.0,0.0,0.0,74692.0,2679620.0,1082004.0,2023,4,2,2,0,-1.0,-1.0,1,0.0,1,1,1,0,Chinese,delis,0.4037900896395757,A,1
40363920,2024-07-03,NEW GOLDEN BILLION,BROOKLYN,11212,Chinese,10.0,A,Violations were cited in the following area(s).,2,1,0,40.662140594575,-73.92718021322,4.2,591.0,2.0,"delis,sandwiches,burgers",1.0,22.775,28.1,17.2,0.0,0.0,0.0,14.720833333333331,26.65416666666667,64.375,14.0,0.0,0.0,74692.0,2679620.0,1082004.0,2024,7,2,3,0,2.0,0.0,2,8.0,1,1,0,1,Chinese,delis,0.4037900896395757,A,1
40364179,2024-07-10,MISS MAIME'S SPOONBREAD TOO,MANHATTAN,10025,Soul Food,12.0,A,Violations were cited in the following area(s).,3,1,0,40.80137126967,-73.96015994361,3.3,497.0,2.0,"southern,bbq,soulfood",0.0,28.083333333333332,32.1,24.8,0.3,0.3,0.0,18.9625,34.27916666666667,68.91666666666667,23.0,0.0,0.0,99880.0,1645867.0,842952.0,2024,7,2,3,0,-1.0,-1.0,1,0.0,1,1,1,0,Other,southern,0.5121628904401145,A,1
40364220,2023-11-01,KOSHER BAGEL HOLE,BROOKLYN,11230,Jewish/Kosher,2.0,A,Violations were cited in the following area(s).,1,0,0,40.625111128727,-73.962034339365,4.1,73.0,1.0,"bagels,breakfast_brunch,sandwiches",1.0,6.729166666666667,9.8,3.5,3.5,3.5,0.0,13.433333333333332,25.054166666666664,56.583333333333336,11.0,0.0,0.0,74692.0,2679620.0,1082004.0,2023,11,2,4,0,-1.0,-1.0,1,0.0,1,1,1,0,Jewish/Kosher,bagels,0.4037900896395757,A,1
40364296,2023-03-20,HAPPY GARDEN,BRONX,10458,Chinese,21.0,,Violations were cited in the following area(s).,4,3,0,40.863648812188,-73.894239617341,2.7,12.0,,chinese,0.0,3.1625,10.7,-3.2,0.0,0.0,0.0,11.820833333333333,22.620833333333337,0.0,3.0,0.0,0.0,47036.0,1443229.0,258727.0,2023,3,0,1,0,-1.0,-1.0,1,0.0,0,1,1,0,Chinese,chinese,0.1792695407312353,B,1
