date,borough,food_complaints_total,rodent_complaints,food_safety_complaints
2023-02-18,BRONX,2,0,0
2023-02-18,BROOKLYN,8,0,0
2023-02-18,MANHATTAN,5,0,0
2023-02-18,QUEENS,10,0,0
2023-02-19,BRONX,3,0,0
2023-02-19,BROOKLYN,8,0,0
2023-02-19,MANHATTAN,15,0,0
2023-02-19,QUEENS,15,0,0
2023-02-19,STATEN ISLAND,2,0,0
2023-02-20,BRONX,2,0,0
2023-02-20,BROOKLYN,9,0,0
2023-02-20,MANHATTAN,11,0,0
2023-02-20,QUEENS,10,0,0
2023-02-20,STATEN ISLAND,5,0,0
2023-02-21,BRONX,5,0,0
2023-02-21,BROOKLYN,10,0,0
2023-02-21,MANHATTAN,17,0,0
2023-02-21,QUEENS,7,0,0
2023-02-21,STATEN ISLAND,1,0,0
2023-02-22,BRONX,3,0,0
2023-02-22,BROOKLYN,15,0,0
2023-02-22,MANHATTAN,23,0,0
2023-02-22,QUEENS,9,0,0
2023-02-23,BRONX,5,0,0
2023-02-23,BROOKLYN,5,0,0
2023-02-23,MANHATTAN,7,0,0
2023-02-23,QUEENS,10,0,0
2023-02-24,BRONX,2,0,0
2023-02-24,BROOKLYN,6,0,0
2023-02-24,MANHATTAN,8,0,0
2023-02-24,QUEENS,10,0,0
2023-02-24,STATEN ISLAND,1,0,0
2023-02-25,BRONX,5,0,0
2023-02-25,BROOKLYN,5,0,0
2023-02-25,MANHATTAN,6,0,0
2023-02-25,QUEENS,3,0,0
2023-02-25,STATEN ISLAND,1,0,0
2023-02-26,BRONX,2,0,0
2023-02-26,BROOKLYN,8,0,0
2023-02-26,MANHATTAN,20,0,0
2023-02-26,QUEENS,1,0,0
2023-02-26,STATEN ISLAND,1,0,0
2023-02-27,BRONX,3,0,0
2023-02-27,BROOKLYN,13,0,0
2023-02-27,MANHATTAN,24,0,0
2023-02-27,QUEENS,8,0,0
2023-02-27,STATEN ISLAND,1,0,0
2023-02-28,BRONX,1,0,0
2023-02-28,BROOKLYN,5,0,0
2023-02-28,MANHATTAN,20,0,0
2023-02-28,QUEENS,8,0,0
2023-02-28,STATEN ISLAND,1,0,0
2023-03-01,BROOKLYN,6,0,0
2023-03-01,MANHATTAN,21,0,0
2023-03-01,QUEENS,11,0,0
2023-03-01,STATEN ISLAND,2,0,0
2023-03-02,BRONX,3,0,0
2023-03-02,BROOKLYN,12,0,0
2023-03-02,MANHATTAN,18,0,0
2023-03-02,QUEENS,12,0,0
2023-03-02,STATEN ISLAND,2,0,0
2023-03-03,BRONX,4,0,0
2023-03-03,BROOKLYN,7,0,0
2023-03-03,MANHATTAN,7,0,0
2023-03-03,QUEENS,10,0,0
2023-03-03,STATEN ISLAND,1,0,0
2023-03-04,BRONX,2,0,0
2023-03-04,BROOKLYN,6,0,0
2023-03-04,MANHATTAN,10,0,0
