date,temp_mean,temp_max,temp_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_mean,wind_gust_mean,cloud_cover_mean
2024-01-27,5.354166666666667,8.6,2.8,0.0,0.0,0.0,8.358333333333333,15.375,95.29166666666667
2024-01-28,3.3666666666666667,4.2,2.5,21.3,21.3,0.0,17.1875,29.708333333333332,100.0
2024-01-29,2.9333333333333336,5.8,0.6,0.7000000000000001,0.7000000000000001,0.0,17.970833333333335,30.983333333333334,83.08333333333333
2024-01-30,0.4124999999999999,4.3,-4.0,0.0,0.0,0.0,9.770833333333334,18.05,56.208333333333336
2024-01-31,2.1666666666666665,4.4,-1.1,0.2,0.2,0.0,8.120833333333334,15.158333333333333,87.625
2024-02-01,2.254166666666667,9.0,-3.4,0.6000000000000001,0.6000000000000001,0.0,10.045833333333333,17.008333333333333,66.79166666666667
2024-02-02,3.775,6.0,2.0,6.3,6.3,0.0,11.966666666666667,20.287499999999998,76.58333333333333
2024-02-03,1.1458333333333333,6.0,-3.2,0.0,0.0,0.0,16.966666666666665,30.195833333333336,9.083333333333334
2024-02-04,0.9041666666666667,7.5,-3.8,0.0,0.0,0.0,11.254166666666668,20.10833333333333,1.25
2024-02-05,0.9,7.1,-3.2,0.0,0.0,0.0,16.479166666666668,28.120833333333334,0.75
2024-02-06,-0.2791666666666666,5.7,-4.9,0.0,0.0,0.0,13.862499999999999,24.875,0.0
2024-02-07,1.5583333333333333,8.1,-3.7,0.0,0.0,0.0,8.941666666666666,16.558333333333334,18.5
2024-02-08,2.129166666666667,10.0,-3.8,0.0,0.0,0.0,6.479166666666667,12.683333333333332,46.791666666666664
2024-02-09,5.2250000000000005,11.4,0.9,0.0,0.0,0.0,10.025,17.670833333333334,70.75
2024-02-10,8.279166666666667,15.9,1.8,0.1,0.1,0.0,10.541666666666666,17.65,99.375
2024-02-11,6.845833333333334,9.0,3.6,0.0,0.0,0.0,10.308333333333334,17.662499999999998,99.70833333333333
2024-02-12,3.9625,9.1,-1.8,0.1,0.1,0.0,7.0874999999999995,14.420833333333334,97.16666666666667
2024-02-13,0.9166666666666666,3.4,-1.2,27.7,0.4,19.11,16.995833333333334,29.1875,69.16666666666667
2024-02-14,-1.9208333333333334,0.3,-4.3,0.0,0.0,0.0,19.287499999999998,33.020833333333336,13.5
2024-02-15,-1.0,2.8,-5.4,0.2,0.0,0.14,13.762500000000001,25.537499999999998,39.375
2024-02-16,1.2916666666666667,5.1,-2.0,0.0,0.0,0.0,19.608333333333334,34.05833333333333,28.708333333333332
2024-02-17,-0.975,2.2,-4.6,5.9,0.1,4.0600000000000005,11.804166666666667,20.400000000000002,59.5
2024-02-18,-1.925,4.9,-6.3,0.0,0.0,0.0,16.4,28.233333333333334,0.9166666666666666
2024-02-19,-0.34166666666666673,4.1,-4.1,0.0,0.0,0.0,12.7875,22.929166666666664,0.2916666666666667
2024-02-20,-2.691666666666667,2.3,-6.4,0.0,0.0,0.0,9.1,17.604166666666668,4.5
2024-02-21,-1.1541666666666666,4.6,-5.6,0.0,0.0,0.0,9.666666666666666,16.9375,63.375
2024-02-22,1.0166666666666666,6.8,-5.1,0.30000000000000004,0.30000000000000004,0.0,10.3375,19.4875,70.41666666666667
2024-02-23,4.508333333333334,8.2,1.4,3.1,3.1,0.0,7.841666666666666,14.75,99.875
2024-02-24,2.275,5.6,-2.8,0.0,0.0,0.0,16.829166666666666,29.266666666666666,51.875
2024-02-25,-2.1999999999999997,4.1,-7.3,0.0,0.0,0.0,9.141666666666667,18.629166666666666,7.958333333333333
2024-02-26,3.35,11.4,-2.2,2.9,0.5,1.6800000000000002,10.566666666666666,19.508333333333333,68.79166666666667
2024-02-27,7.658333333333334,13.9,-0.1,3.8000000000000003,3.8000000000000003,0.0,14.254166666666668,24.462500000000002,78.70833333333333
2024-02-28,13.637500000000001,17.1,10.1,15.700000000000001,15.700000000000001,0.0,22.09583333333333,38.00833333333333,100.0
2024-02-29,1.0208333333333333,6.7,-2.8,0.1,0.1,0.0,20.875,37.81666666666667,27.5
2024-03-01,0.8000000000000002,5.9,-4.4,0.0,0.0,0.0,10.658333333333333,19.974999999999998,33.666666666666664
2024-03-02,6.625,10.1,1.8,28.1,28.1,0.0,11.633333333333333,19.770833333333332,100.0
2024-03-03,11.570833333333333,18.7,5.9,0.0,0.0,0.0,10.995833333333332,20.462500000000002,20.333333333333332
2024-03-04,8.195833333333333,14.4,3.7,0.0,0.0,0.0,11.904166666666667,21.962500000000002,52.625
2024-03-05,6.504166666666666,8.4,4.0,20.3,20.3,0.0,12.479166666666666,22.691666666666666,98.70833333333333
2024-03-06,7.145833333333333,9.8,3.7,33.2,33.2,0.0,9.695833333333335,18.8625,96.04166666666667
2024-03-07,9.691666666666666,12.6,5.8,3.5,3.5,0.0,21.366666666666664,36.77916666666667,90.58333333333333
2024-03-08,6.020833333333333,12.4,0.8,0.0,0.0,0.0,12.879166666666668,24.808333333333334,62.083333333333336
2024-03-09,5.2749999999999995,7.9,3.8,28.7,28.7,0.0,20.204166666666666,35.925000000000004,100.0
2024-03-10,7.254166666666666,10.9,2.2,20.900000000000002,20.900000000000002,0.0,21.283333333333335,39.50416666666667,76.83333333333333
2024-03-11,5.0375000000000005,10.1,1.0,0.0,0.0,0.0,30.28333333333333,52.67083333333333,30.125
2024-03-12,9.254166666666666,17.5,2.5,0.0,0.0,0.0,15.625,27.370833333333334,29.583333333333332
2024-03-13,8.729166666666666,15.4,2.5,0.0,0.0,0.0,8.975,16.670833333333334,48.041666666666664
2024-03-14,11.633333333333333,21.2,4.0,0.0,0.0,0.0,8.004166666666666,14.808333333333332,56.208333333333336
2024-03-15,14.9375,21.6,8.2,0.8,0.8,0.0,14.924999999999999,27.079166666666666,98.16666666666667
2024-03-16,9.325000000000001,14.4,4.8,0.1,0.1,0.0,10.504166666666666,20.329166666666666,34.875
2024-03-17,10.895833333333334,15.8,7.2,0.4,0.4,0.0,17.8875,31.7,59.166666666666664
2024-03-18,6.6875,9.2,2.4,0.0,0.0,0.0,16.020833333333332,28.6125,76.75
2024-03-19,3.579166666666667,7.5,0.2,0.5,0.30000000000000004,0.14,18.441666666666666,33.5875,64.29166666666667
2024-03-20,5.895833333333333,11.9,1.1,2.8,2.8,0.0,14.866666666666667,27.204166666666666,60.791666666666664
2024-03-21,0.7833333333333333,5.6,-3.7,0.0,0.0,0.0,19.64166666666667,35.5375,16.333333333333332
2024-03-22,0.8875000000000001,5.7,-5.2,0.0,0.0,0.0,10.429166666666667,21.270833333333332,31.458333333333332
