threshold,precision,recall,f1,accuracy
0.3999999999999998,0.21885562530178657,0.8326061997703789,0.34660421545667447,0.4204993429697766
0.4099999999999998,0.22160419695341635,0.8050516647531573,0.34754163362410784,0.4419905896316392
0.4199999999999998,0.22493887530562348,0.7816303099885189,0.3493431855500821,0.46250688822008396
0.4299999999999998,0.22762984078425919,0.7517795637198622,0.3494503148681823,0.4832775210885507
0.43999999999999984,0.23224950232249503,0.7233065442020666,0.35160174126576627,0.5075240557839854
0.44999999999999984,0.23590585659551178,0.6927669345579793,0.3519598693420439,0.5290576914925184
0.45999999999999985,0.24046434494195687,0.6659012629161883,0.3533353639963448,0.5500402695943368
0.46999999999999986,0.24479166666666666,0.6367393800229622,0.3536313205381623,0.5703022339027596
0.47999999999999976,0.24729360820860397,0.6032146957520091,0.35078114568033114,0.5878089101776101
0.48999999999999977,0.2516862981979261,0.574052812858783,0.34994400895856664,0.6062905345258786
0.4999999999999998,0.2533261222282315,0.5377726750861079,0.34441176470588236,0.6220592598872451
0.5099999999999998,0.25818139317438055,0.5072330654420206,0.3421888312291844,0.6399898266287991
0.5199999999999998,0.2613478315842711,0.4746268656716418,0.33708414872798437,0.6553770505701326
0.5299999999999998,0.2658089241719135,0.44592422502870266,0.3330760655175371,0.6703403840447628
0.5399999999999998,0.2693572496263079,0.41377726750861077,0.3263014938886374,0.6845831037259972
0.5499999999999998,0.27231344496829785,0.38461538461538464,0.3188654102417666,0.6966639820270442
0.5599999999999997,0.27695333452529947,0.35568312284730197,0.31141938078005627,0.7096350303081683
0.5699999999999997,0.2806566455696203,0.3258323765786452,0.3015620019126554,0.7213767962358526
0.5799999999999997,0.2842314487632509,0.2955223880597015,0.28976697061803447,0.7325675045568225
0.5899999999999997,0.29231529528045463,0.2716417910447761,0.2815996191383004,0.7441397142978254
0.5999999999999998,0.29398786541643684,0.24477611940298508,0.2671344443052249,0.7520664660251791
0.6099999999999998,0.2917820867959372,0.2176808266360505,0.24934245134139926,0.7580433216056971
0.6199999999999998,0.29259002770083103,0.19402985074626866,0.23332873118873396,0.7646136238395999
0.6299999999999997,0.29013312451057166,0.1701492537313433,0.21450282240555796,0.7699546437200627
0.6399999999999997,0.28979771328056286,0.1513203214695752,0.19882335193845224,0.7748717731338223
0.6499999999999997,0.29220138203356366,0.1359357060849598,0.18555085409810373,0.779704124454241
0.6599999999999997,0.2972972972972973,0.12376578645235362,0.17477302204928663,0.7842397524479674
0.6699999999999997,0.2994385527136619,0.11021814006888633,0.16112789526686808,0.7881395447416387
0.6799999999999997,0.2972972972972973,0.09598163030998852,0.14511369553896894,0.7912339451485736
0.6899999999999997,0.2991935483870968,0.08518943742824339,0.1326184092940125,0.7942859565088382
0.6999999999999996,0.3014842300556586,0.07462686567164178,0.11963924167126817,0.797253189775762
0.7099999999999996,0.3023983315954119,0.06659012629161883,0.10914565299209635,0.7993302530626086
0.7199999999999996,0.3136094674556213,0.060849598163030996,0.10192307692307692,0.8020431520495104
0.7299999999999996,0.3147896879240163,0.05327210103329506,0.09112333071484682,0.8038234920096647
0.7399999999999997,0.3157076205287714,0.04661308840413318,0.08123249299719888,0.8053494976897969
0.7499999999999997,0.3204903677758319,0.04202066590126292,0.07429963459196103,0.8067059471832478
0.7599999999999997,0.3241650294695481,0.03788748564867968,0.0678453947368421,0.8078080623966767
0.7699999999999997,0.32158590308370044,0.033524684270952926,0.06071948430027033,0.8085286761900725
0.7799999999999997,0.33497536945812806,0.031228473019517797,0.05713085486242386,0.809715569496842
0.7899999999999996,0.34560906515580736,0.02801377726750861,0.051826677994902294,0.8107752956636005
0.7999999999999996,0.3536977491961415,0.02525832376578645,0.04714959279897128,0.8115382985036667
0.8099999999999996,0.35424354243542433,0.022043628013777267,0.041504539559014265,0.8120469670637107
0.8199999999999996,0.358974358974359,0.01928817451205511,0.03660928306820658,0.8125980246704252
0.8299999999999996,0.39,0.01791044776119403,0.03424807903402854,0.8135305836971727
0.8399999999999996,0.3888888888888889,0.014466130884041332,0.027894620323223377,0.8138696960705354
0.8499999999999996,0.3925925925925926,0.0121699196326062,0.023608017817371936,0.8141664193972278
0.8599999999999995,0.39473684210526316,0.010332950631458095,0.020138733497426717,0.8143783646305794
0.8699999999999996,0.42528735632183906,0.008495981630309988,0.016659162539396668,0.8148446441439532
