feature,coefficient,abs_coefficient,odds_ratio
yelp_category_primary_lawyers,-0.025243826744173324,0.025243826744173324,0.975072134377376
yelp_category_primary_elementaryschools,-0.025232561389911284,0.025232561389911284,0.9750831189722734
yelp_category_primary_contractors,-0.025188218881500142,0.025188218881500142,0.9751263575623247
yelp_category_primary_falafel,-0.025160076068893776,0.025160076068893776,0.9751538007468356
yelp_category_primary_culturalcenter,-0.02509748560089247,0.02509748560089247,0.9752148379897524
yelp_category_primary_thrift_stores,-0.02500260653711151,0.02500260653711151,0.9753073698501649
yelp_category_primary_sicilian,-0.024641115978952938,0.024641115978952938,0.9756599979876993
cuisine_grouped_Pizza,0.024557876060903334,0.024557876060903334,1.0248619043607676
yelp_category_primary_wedding_planning,-0.023861097968859938,0.023861097968859938,0.9764213272445218
yelp_category_primary_cabaret,-0.023825867079828443,0.023825867079828443,0.9764557280419317
yelp_category_primary_afghani,-0.023782524853816347,0.023782524853816347,0.9764980507239603
yelp_category_primary_nonprofit,-0.023517290917946392,0.023517290917946392,0.9767570854962108
yelp_category_primary_egyptian,-0.023201008707237864,0.023201008707237864,0.9770660652463602
yelp_category_primary_bankruptcy,-0.022781649582173217,0.022781649582173217,0.9774758927430564
yelp_category_primary_musicvideo,-0.0227585372859643,0.0227585372859643,0.9774984847165017
yelp_category_primary_gun_ranges,-0.022440842701823893,0.022440842701823893,0.977809080025713
yelp_category_primary_blinds,-0.022413157858094532,0.022413157858094532,0.9778361508920154
yelp_category_primary_portuguese,-0.02223817585880694,0.02223817585880694,0.9780072695875832
boro_STATEN ISLAND,-0.022200392405861354,0.022200392405861354,0.9780442227773393
yelp_category_primary_beergardens,-0.021623931219221525,0.021623931219221525,0.9786081898475334
yelp_category_primary_stadiumsarenas,-0.021494768233055798,0.021494768233055798,0.9787345979670697
yelp_category_primary_veteransorganizations,-0.021480139980842455,0.021480139980842455,0.9787489152483368
yelp_category_primary_eventplanning,-0.02140235132758678,0.02140235132758678,0.9788250537696476
yelp_category_primary_cafeteria,-0.02126396249189314,0.02126396249189314,0.9789605216025882
yelp_category_primary_galleries,-0.021154295874942386,0.021154295874942386,0.9790678867782009
yelp_category_primary_srilankan,-0.021061892784707742,0.021061892784707742,0.9791583598564203
dow_cos,0.02105810583357463,0.02105810583357463,1.0212813923201072
yelp_category_primary_cheesesteaks,-0.020955755397097344,0.020955755397097344,0.979262290682168
yelp_category_primary_barbers,-0.020691525247191207,0.020691525247191207,0.9795210754919013
yelp_category_primary_adultentertainment,-0.02055586601790219,0.02055586601790219,0.9796539655797545
yelp_category_primary_lebanese,-0.020456610148484308,0.020456610148484308,0.9797512068116384
yelp_category_primary_accountants,-0.020386104950961784,0.020386104950961784,0.9798202867992181
yelp_category_primary_austrian,-0.02027975301631521,0.02027975301631521,0.9799244981237649
yelp_category_primary_general_litigation,-0.020211124548442254,0.020211124548442254,0.979991751148412
yelp_category_primary_waffles,-0.019915671013050935,0.019915671013050935,0.9802813359532637
yelp_category_primary_apartments,-0.0198581272533436,0.0198581272533436,0.9803377466499316
yelp_category_primary_countryclubs,-0.019846681316914857,0.019846681316914857,0.9803489675976754
yelp_category_primary_whiskeybars,-0.01978510169103243,0.01978510169103243,0.9804093389791388
yelp_category_primary_gelato,-0.019386559107970623,0.019386559107970623,0.9808001517221406
yelp_category_primary_sharedofficespaces,-0.019175566573529586,0.019175566573529586,0.9810071150650249
yelp_category_primary_pianobars,-0.019095711480030062,0.019095711480030062,0.9810854566078662
yelp_category_primary_korean,0.018938202956411573,0.018938202956411573,1.0191186681506672
