threshold,precision,recall,f1
0.5299999999999998,0.2657256406742497,0.4452353616532721,0.332818400274631
0.5399999999999998,0.26797190255567177,0.41171067738231915,0.32464240449031323
0.5499999999999998,0.2721354166666667,0.3839265212399541,0.31850652443089816
0.5599999999999997,0.277231264532284,0.3559127439724455,0.31168308867886585
0.5699999999999997,0.28034052662839043,0.3251435132032147,0.3010844142036998
0.5799999999999997,0.2857458075904678,0.2973593570608496,0.2914369303476989
0.5899999999999997,0.2931459566074951,0.2730195177956372,0.2827250029722982
0.5999999999999998,0.29385844120077115,0.2450057405281286,0.26721763085399447
0.6099999999999998,0.29080848447586843,0.2172215843857635,0.2486855941114616
0.6199999999999998,0.29207232267037553,0.1928817451205511,0.23233301064859632
0.6299999999999997,0.28886265249901616,0.16854190585533868,0.212877030162413
0.6399999999999997,0.2904363155575143,0.1513203214695752,0.1989734299516908
0.6499999999999997,0.29271916790490343,0.13570608495981631,0.18544085346721054
0.6599999999999997,0.29512735326688816,0.12238805970149254,0.17302385976302548
0.6699999999999997,0.29906542056074764,0.11021814006888633,0.16107382550335567
0.6799999999999997,0.2980085348506401,0.09621125143513203,0.14546085749001908
0.6899999999999997,0.29991980753809144,0.08587830080367394,0.1335237415208854
0.6999999999999996,0.30213160333642264,0.0748564867967853,0.11998527788001473
0.7099999999999996,0.3051201671891327,0.06704936854190585,0.10993975903614457
0.7199999999999996,0.3171021377672209,0.06130884041331802,0.10275158745430055
0.7299999999999996,0.3128415300546448,0.052583237657864525,0.09003341851779044
0.7399999999999997,0.3171875,0.04661308840413318,0.08128128128128129
0.7499999999999997,0.3204903677758319,0.04202066590126292,0.07429963459196103
0.7599999999999997,0.3254437869822485,0.03788748564867968,0.06787330316742081
0.7699999999999997,0.3207126948775056,0.0330654420206659,0.05995004163197335
0.7799999999999997,0.33827160493827163,0.03145809414466131,0.05756302521008403
0.7899999999999996,0.3457142857142857,0.027784156142365096,0.051434643995749194
0.7999999999999996,0.3583061889250814,0.02525832376578645,0.047190047190047185
0.8099999999999996,0.35793357933579334,0.02227324913892078,0.041936878512753996
0.8199999999999996,0.358974358974359,0.01928817451205511,0.03660928306820658
0.8299999999999996,0.39303482587064675,0.018140068886337544,0.03467954345917471
0.8399999999999996,0.4,0.01515499425947187,0.02920353982300885
0.8499999999999996,0.4057971014492754,0.01285878300803674,0.02492766525706655
0.8599999999999995,0.40707964601769914,0.010562571756601608,0.020590868397493287
0.8699999999999996,0.4318181818181818,0.008725602755453503,0.017105559306774702
0.8799999999999996,0.4507042253521127,0.0073478760045924225,0.014460009037505647
0.8899999999999996,0.4807692307692308,0.0057405281285878304,0.011345586566825504
0.8999999999999996,0.47368421052631576,0.0041331802525832375,0.008194855451855224
