feature,coefficient,abs_coefficient
yelp_category_primary_jazzandblues,-0.09438863778168426,0.09438863778168426
yelp_category_primary_steak,0.09399784332842506,0.09399784332842506
yelp_category_primary_sportsbars,0.09102515143644671,0.09102515143644671
yelp_category_primary_chicken_wings,0.09071819491729693,0.09071819491729693
yelp_category_primary_brazilian,-0.09004068745604953,0.09004068745604953
yelp_category_primary_puertorican,0.08964517234002566,0.08964517234002566
yelp_category_primary_bowling,0.08834803172103388,0.08834803172103388
yelp_category_primary_unknown,0.0861997867632838,0.0861997867632838
yelp_category_primary_gyms,-0.08507132463567278,0.08507132463567278
yelp_category_primary_african,0.08348712727389634,0.08348712727389634
yelp_category_primary_turkish,-0.08304187546749925,0.08304187546749925
yelp_category_primary_bubbletea,0.08064973310770208,0.08064973310770208
yelp_category_primary_fishnchips,-0.08018721817583613,0.08018721817583613
yelp_category_primary_ethiopian,-0.078915092066153,0.078915092066153
yelp_category_primary_polish,-0.07670080852376006,0.07670080852376006
yelp_category_primary_seafood,-0.07617642583657439,0.07617642583657439
temp_mean,0.07588313195116518,0.07588313195116518
cuisine_grouped_Mexican,0.07497400666530928,0.07497400666530928
yelp_category_primary_hookah_bars,0.07490505912984206,0.07490505912984206
yelp_category_primary_modern_european,-0.07384872215234557,0.07384872215234557
month_sin,-0.07045914924511149,0.07045914924511149
yelp_category_primary_kosher,-0.0678811179701885,0.0678811179701885
yelp_category_primary_stripclubs,-0.06765084117178906,0.06765084117178906
yelp_category_primary_ramen,-0.06758302230831512,0.06758302230831512
is_weekend,-0.06684078756452487,0.06684078756452487
yelp_category_primary_beer_and_wine,-0.06677196353229857,0.06677196353229857
yelp_category_primary_gourmet,0.0666530763746246,0.0666530763746246
complaint_intensity,-0.06623087666984498,0.06623087666984498
food_complaints_total,-0.06623087666984498,0.06623087666984498
yelp_category_primary_vegan,0.06619309087540697,0.06619309087540697
yelp_category_primary_sports_clubs,-0.06577258043435683,0.06577258043435683
yelp_category_primary_comfortfood,-0.06558701255723805,0.06558701255723805
yelp_category_primary_soulfood,0.06551921290473853,0.06551921290473853
yelp_category_primary_venezuelan,0.06433775560691009,0.06433775560691009
yelp_category_primary_fooddeliveryservices,-0.06427228522606662,0.06427228522606662
yelp_category_primary_empanadas,-0.06333115603091079,0.06333115603091079
yelp_category_primary_collegeuniv,-0.0623152321661812,0.0623152321661812
yelp_category_primary_bbq,0.062020601977296676,0.062020601977296676
yelp_category_primary_banks,-0.057616271604580147,0.057616271604580147
"cuisine_grouped_Juice, Smoothies, Fruit Salads",-0.05619321518484745,0.05619321518484745
yelp_category_primary_airportlounges,-0.0559257117652488,0.0559257117652488
cuisine_grouped_Spanish,0.055708373137812794,0.055708373137812794
yelp_category_primary_massage,-0.053968622518391435,0.053968622518391435
boro_MANHATTAN,-0.053825174278720814,0.053825174278720814
yelp_category_primary_creperies,-0.053168246481754625,0.053168246481754625
snowfall_sum,-0.05299391826632887,0.05299391826632887
yelp_price,-0.0522680707310451,0.0522680707310451
yelp_category_primary_pakistani,-0.05225540910087025,0.05225540910087025
yelp_category_primary_salad,-0.05195454547959513,0.05195454547959513
yelp_category_primary_treeservices,-0.050358426122220495,0.050358426122220495
yelp_category_primary_golf,-0.049607085885090677,0.049607085885090677
yelp_category_primary_vegetarian,-0.04870385417142428,0.04870385417142428
yelp_category_primary_filipino,-0.048193768182289,0.048193768182289
yelp_category_primary_french,-0.047412531627396455,0.047412531627396455
yelp_category_primary_haitian,0.04659190171567375,0.04659190171567375
yelp_category_primary_foodtrucks,-0.0454041591330981,0.0454041591330981
yelp_category_primary_tikibars,-0.04481200531793543,0.04481200531793543
yelp_category_primary_legalservices,-0.04424879680308268,0.04424879680308268
yelp_category_primary_tennis,-0.04382838414132275,0.04382838414132275
yelp_category_primary_spas,-0.043512875436285035,0.043512875436285035
yelp_category_primary_argentine,-0.041546845064508356,0.041546845064508356
yelp_category_primary_asianfusion,0.039935970988320926,0.039935970988320926
yelp_category_primary_bookstores,-0.03792959138236381,0.03792959138236381
yelp_category_primary_audiologist,-0.037437220436508344,0.037437220436508344
yelp_category_primary_healthmarkets,-0.03668620589729682,0.03668620589729682
boro_BRONX,-0.036451556127217864,0.036451556127217864
yelp_category_primary_hotdog,0.03459089033647352,0.03459089033647352
wind_speed_mean,0.032170719874656986,0.032170719874656986
yelp_category_primary_intlgrocery,-0.03143671635853503,0.03143671635853503
yelp_category_primary_cigarbars,-0.03142742081027261,0.03142742081027261
yelp_category_primary_salvadoran,0.03138772310488294,0.03138772310488294
yelp_category_primary_kebab,-0.03031248980408047,0.03031248980408047
yelp_category_primary_amusementparks,-0.03010588241001259,0.03010588241001259
yelp_category_primary_furniture,-0.029726971650891054,0.029726971650891054
yelp_category_primary_hotpot,-0.029180666764053675,0.029180666764053675
yelp_category_primary_swimmingpools,-0.029013526089252235,0.029013526089252235
is_first_inspection,-0.02871917662031932,0.02871917662031932
yelp_category_primary_airports,-0.028618876938730498,0.028618876938730498
yelp_category_primary_peruvian,-0.028574384536464183,0.028574384536464183
yelp_category_primary_foodstands,-0.02852720265653992,0.02852720265653992
yelp_category_primary_trinidadian,-0.0278221662324343,0.0278221662324343
yelp_category_primary_meats,-0.027451853287423514,0.027451853287423514
yelp_category_primary_boxing,-0.027025381847051406,0.027025381847051406
yelp_category_primary_buffets,-0.026952636181838203,0.026952636181838203
has_location,0.026866699071004713,0.026866699071004713
yelp_category_primary_indonesian,-0.026537391106391705,0.026537391106391705
yelp_category_primary_tea,-0.026375761371893295,0.026375761371893295
yelp_category_primary_sewingalterations,-0.02609873037200753,0.02609873037200753
median_household_income,0.02585888524657845,0.02585888524657845
dow_sin,0.025755589953829348,0.025755589953829348
yelp_category_primary_localflavor,-0.025681303770373635,0.025681303770373635
yelp_category_primary_movers,-0.025259223314852412,0.025259223314852412
yelp_category_primary_lawyers,-0.025242354850098323,0.025242354850098323
yelp_category_primary_elementaryschools,-0.025231096079323986,0.025231096079323986
yelp_category_primary_contractors,-0.02518669359363237,0.02518669359363237
yelp_category_primary_falafel,-0.025158562313620198,0.025158562313620198
